business_id,business_name,business_address,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,violation_id,violation_description,risk_category
"2724","HUNAN EMPIRE","2001 Union St #107","94123","37.797443","-122.432537","(37.797443, -122.432537)","14155774735","2724_20160929","9/29/16","92","2724_20160929_103119","Inadequate and inaccessible handwashing facilities","Moderate Risk"
"5841","JEFFERSON ELEMENTARY SCHOOL","1725 IRVING St","94122","37.763543","-122.476332","(37.763543, -122.476332)","14155752821","5841_20160506","5/6/16","91","5841_20160506_103144","Unapproved or unmaintained equipment or utensils","Low Risk"
"4801","YICK'S LIQUOR","4701 MISSION St","94112","37.72304","-122.436017","(37.72304, -122.436017)","14155582662","4801_20160516","5/16/16","96","4801_20160516_103147","Inadequate ventilation or lighting","Low Risk"
"7744","SAFEWAY #759","625 MONTEREY Blvd","94127","37.731523","-122.45005","(37.731523, -122.45005)","14155582421","7744_20160809","8/9/16","98","7744_20160809_103144","Unapproved or unmaintained equipment or utensils","Low Risk"
"32671","La Taqueria Guadalajara","3146 24th St","94110","37.752512","-122.415109","(37.752512, -122.415109)","14155644892","32671_20170920","9/20/17","86","32671_20170920_103120","Moderate risk food holding temperature","Moderate Risk"
"3267","The Olive Garden Italian","3251 20th Ave","94132","37.728497","-122.475639","(37.728497, -122.475639)","14155666770","3267_20160719","7/19/16","96","3267_20160719_103154","Unclean or degraded floors walls or ceilings","Low Risk"
"69259","Goat Hill Pizza","170 WEST PORTAL Ave","94127","37.739154","-122.467794","(37.739154, -122.467794)","14155641440","69259_20180911","9/11/18","100","","",""
"2369","CLOONEY'S","1401 Valencia St","94110","37.750374","-122.420456","(37.750374, -122.420456)","14155824988","2369_20170809","8/9/17","86","2369_20170809_103132","Improper thawing methods","Moderate Risk"
"4917","LA VICTORIA BAKERY","2937 24th St","94110","37.752373","-122.410876","(37.752373, -122.410876)","14155647120","4917_20160906","9/6/16","78","4917_20160906_103142","Unclean nonfood contact surfaces","Low Risk"
"2542","PETER D'S RESTAURANT","2201 Van Ness St","94109","37.795993","-122.423585","(37.795993, -122.423585)","14155778505","2542_20160603","6/3/16","81","2542_20160603_103154","Unclean or degraded floors walls or ceilings","Low Risk"
"4479","Courtney's Produce II","101 CASTRO St","94114","37.767194","-122.435576","(37.767194, -122.435576)","14155621850","4479_20180201","2/1/18","82","4479_20180201_103120","Moderate risk food holding temperature","Moderate Risk"
"4667","EMPIRE THEATRE","085 WEST PORTAL Ave","94127","37.739883","-122.466749","(37.739883, -122.466749)","14155664950","4667_20180830","8/30/18","100","","",""
"62308","Sam's Diner","1220 Market Street","94102","37.778497","-122.415146","(37.778497, -122.415146)","14155628590","62308_20160203","2/3/16","72","62308_20160203_103131","Moderate risk vermin infestation","Moderate Risk"
"4702","SHUFAT MARKET","3807 24th St","94114","37.751664","-122.427688","(37.751664, -122.427688)","14155826207","4702_20160916","9/16/16","92","4702_20160916_103124","Inadequately cleaned or sanitized food contact surfaces","Moderate Risk"
"67187","Chipotle Mexican Grill #1560","333 Jefferson St #104","94133","37.807923","-122.417887","(37.807923, -122.417887)","14155503533","67187_20180614","6/14/18","100","","",""
